,Symbol,Title,Date,Link,Source,Comments
39,None (General News),"Shell says it will stop buying Russian oil, natural gas",08/03/2022,https://www.channelnewsasia.com/world/shell-stop-buying-russian-oil-natural-gas-2548531,CNA,Featured on SGInvestors
40,None (General News),Apple expected to upgrade its low-cost iPhone SE at product event,08/03/2022,https://www.channelnewsasia.com/business/apple-expected-upgrade-its-low-cost-iphone-se-product-event-2548526,CNA,Featured on SGInvestors
41,None (General News),"HK listing postponement for long term benefit of company and stakeholders, says Top Glove",08/03/2022,https://www.theedgemarkets.com/article/hk-listing-postponement-long-term-benefit-company-and-stakeholders-says-top-glove,The Edge,Featured on SGInvestors
42,None (General News),High Court dismisses Darco Water's claim against ex-CEO,08/03/2022,https://www.businesstimes.com.sg/companies-markets/high-court-dismisses-darco-waters-claim-against-ex-ceo,The Business Times,Featured on SGInvestors
43,None (General News),SAC Capital lowers PropNex's TP to $1.78 as it expects FY2022 to see a correction in its sales volume,08/03/2022,https://www.theedgesingapore.com/capital/brokers-calls/sac-capital-lowers-propnexs-tp-178-it-expects-fy2022-see-correction-its-sales,The Edge,Featured on SGInvestors
44,None (General News),US Cerberus to buy Hanjin's Philippines shipyard for $300 million - informed sources,08/03/2022,https://www.channelnewsasia.com/business/us-cerberus-buy-hanjins-philippines-shipyard-300-million-informed-sources-2548431,CNA,Featured on SGInvestors
45,None (General News),Cerberus to buy Philippine shipyard at ex US navy base for $300 million - sources,08/03/2022,https://www.channelnewsasia.com/business/cerberus-buy-philippine-shipyard-ex-us-navy-base-300-million-sources-2548431,CNA,Featured on SGInvestors
46,None (General News),COVID-19 can cause brain shrinkage: study,08/03/2022,https://www.channelnewsasia.com/business/covid-19-can-cause-brain-shrinkage-study-2548411,CNA,Featured on SGInvestors
47,None (General News),Singapore stocks extend losses on Tuesday; STI down another 1.2%,08/03/2022,https://www.businesstimes.com.sg/companies-markets/singapore-stocks-extend-losses-on-tuesday-sti-down-another-12,The Business Times,Featured on SGInvestors
48,None (General News),"Analysis-Ukraine crisis could disrupt India's spending plans, economic recovery",08/03/2022,https://www.channelnewsasia.com/business/analysis-ukraine-crisis-could-disrupt-indias-spending-plans-economic-recovery-2548386,CNA,Featured on SGInvestors
49,None (General News),China's central bank to pay profits to fund fiscal spending -finance ministry,08/03/2022,https://www.channelnewsasia.com/business/chinas-central-bank-pay-profits-fund-fiscal-spending-finance-ministry-2548391,CNA,Featured on SGInvestors
50,None (General News),"Taiwan February exports surge, Ukraine war may disrupt supply chains",08/03/2022,https://www.channelnewsasia.com/business/taiwan-february-exports-surge-ukraine-war-may-disrupt-supply-chains-2548371,CNA,Featured on SGInvestors
51,None (General News),The conflict is changing the face of commodities flows,08/03/2022,https://www.businesstimes.com.sg/opinion/the-conflict-is-changing-the-face-of-commodities-flows,The Business Times,Featured on SGInvestors
52,None (General News),India's IOC to import June oil via tenders after snap purchase of 9 million bbls - sources,08/03/2022,https://www.channelnewsasia.com/business/indias-ioc-import-june-oil-tenders-after-snap-purchase-9-million-bbls-sources-2548351,CNA,Featured on SGInvestors
53,None (General News),Singapore will be 'significantly impacted' with pricey oil imports amid war in Ukraine: Gan Kim Yong,08/03/2022,https://www.theedgesingapore.com/news/russia-ukraine-crisis/singapore-will-be-significantly-impacted-pricey-oil-imports-amid-war,The Edge,Featured on SGInvestors
54,None (General News),Thai GDP growth may miss forecast this year over Ukraine crisis - Finance Minister,08/03/2022,https://www.channelnewsasia.com/business/thai-gdp-growth-may-miss-forecast-year-over-ukraine-crisis-finance-minister-2548341,CNA,Featured on SGInvestors
55,None (General News),Analysts like CapitaLand Investment after strong FY2021 results,08/03/2022,https://www.theedgesingapore.com/capital/brokers-calls/analysts-capitaland-investment-after-strong-fy2021-results,The Edge,Featured on SGInvestors
56,None (General News),Ukraine may smooth Macron's path to power,08/03/2022,https://www.businesstimes.com.sg/opinion/ukraine-may-smooth-macrons-path-to-power,The Business Times,Featured on SGInvestors
57,None (General News),The EU has antitrust lessons for America,08/03/2022,https://www.businesstimes.com.sg/opinion/the-eu-has-antitrust-lessons-for-america,The Business Times,Featured on SGInvestors
58,None (General News),Sri Lanka cenbank gets deferral of $900m payment from Asian Clearing Union,08/03/2022,https://www.channelnewsasia.com/business/sri-lanka-cenbank-gets-deferral-900m-payment-asian-clearing-union-2548276,CNA,Featured on SGInvestors
59,None (General News),"Sri Lanka devalues rupee, seen as step towards getting IMF help ",08/03/2022,https://www.channelnewsasia.com/business/sri-lanka-devalues-rupee-seen-step-towards-getting-imf-help-2548241,CNA,Featured on SGInvestors
60,None (General News),Adidas announces new China chief as it looks to revive sales ,08/03/2022,https://www.channelnewsasia.com/business/adidas-announces-new-china-chief-it-looks-revive-sales-2548251,CNA,Featured on SGInvestors
61,None (General News),Why China can't bail out Putin's economy,08/03/2022,https://www.businesstimes.com.sg/opinion/why-china-cant-bail-out-putins-economy,The Business Times,Featured on SGInvestors
62,None (General News),S$63 million to enhance Green Mark Incentive Scheme for Existing Buildings,08/03/2022,https://www.businesstimes.com.sg/real-estate/s63-million-to-enhance-green-mark-incentive-scheme-for-existing-buildings,The Business Times,Featured on SGInvestors
63,None (General News),"Nickel soars to record of more than US$100,000 per tonne over Russian production concerns",08/03/2022,https://www.channelnewsasia.com/business/ukraine-invasion-nickel-soars-record-above-us100000-tonne-2548211,CNA,Featured on SGInvestors
64,None (General News),"HDB offers to buy back flats from owners constrained by Ethnic Integration Policy, on case-by-case basis",08/03/2022,https://www.businesstimes.com.sg/real-estate/hdb-offers-to-buy-back-flats-from-owners-constrained-by-ethnic-integration-policy-on,The Business Times,Featured on SGInvestors
65,None (General News),"Indonesia raises $431 million via Islamic bond auction, plans additional sale",08/03/2022,https://www.channelnewsasia.com/business/indonesia-raises-431-million-islamic-bond-auction-plans-additional-sale-2548206,CNA,Featured on SGInvestors
66,None (General News),Taiwan central bank says it spent $9.12 billion on forex intervention last year,08/03/2022,https://www.channelnewsasia.com/business/taiwan-central-bank-says-it-spent-912-billion-forex-intervention-last-year-2548201,CNA,Featured on SGInvestors
67,None (General News),Top Glove shelves HK listing as Ukraine war roils markets,08/03/2022,https://www.theedgemarkets.com/article/top-glove-shelves-us347m-hong-kong-listing-says-source,The Edge,Featured on SGInvestors
68,None (General News),"Tesla sold 56,515 China-made vehicles in February - CPCA",08/03/2022,https://www.channelnewsasia.com/business/tesla-sold-56515-china-made-vehicles-february-cpca-2548186,CNA,Featured on SGInvestors
69,None (General News),Rex International gets a 'buy' following 'record-breaking' profits for FY2021,08/03/2022,https://www.theedgesingapore.com/capital/brokers-calls/rex-international-gets-buy-following-record-breaking-profits-fy2021,The Edge,Featured on SGInvestors
70,None (General News),"Top Glove shelves Hong Kong listing, says ‘not in a hurry’ amid current market conditions",08/03/2022,https://www.businesstimes.com.sg/stocks/top-glove-shelves-hk-listing-as-ukraine-war-roils-markets,The Business Times,Featured on SGInvestors
71,None (General News),"Malaysia's Top Glove delays HK listing, cites market conditions due to Ukraine war",08/03/2022,https://www.channelnewsasia.com/business/malaysias-top-glove-delays-hk-listing-cites-market-conditions-due-ukraine-war-2548106,CNA,Featured on SGInvestors
72,None (General News),"Ukraine, property woes drive China high-yield spreads to November highs",08/03/2022,https://www.channelnewsasia.com/business/ukraine-property-woes-drive-china-high-yield-spreads-november-highs-2548081,CNA,Featured on SGInvestors
73,None (General News),Malaysian firm launches first online market for sustainable palm oil,08/03/2022,https://www.channelnewsasia.com/business/malaysian-firm-launches-first-online-market-sustainable-palm-oil-2548046,CNA,Featured on SGInvestors
74,None (General News),Explainer - Amazon's battle with Reliance for India retail supremacy ,08/03/2022,https://www.channelnewsasia.com/business/explainer-amazons-battle-reliance-india-retail-supremacy-2548021,CNA,Featured on SGInvestors
75,None (General News),'Buy' ESR-REIT as it inches closer to merger with ARA Logos Logistics Trust: analysts,08/03/2022,https://www.theedgesingapore.com/capital/brokers-calls/buy-esr-reit-it-inches-closer-merger-ara-logos-logistics-trust-analysts,The Edge,Featured on SGInvestors
76,None (General News),BHG Retail REIT expected to see stable growth moving forward,08/03/2022,https://www.theedgesingapore.com/capital/brokers-calls/bhg-retail-reit-expected-see-stable-growth-moving-forward,The Edge,Featured on SGInvestors
77,None (General News),Singtel's latest buy is keeping it at 'buy',08/03/2022,https://www.theedgesingapore.com/capital/brokers-calls/singtels-latest-buy-keeping-it-buy,The Edge,Featured on SGInvestors
78,None (General News),A*Star sets up new research institute focused on sustainability,08/03/2022,https://www.businesstimes.com.sg/government-economy/astar-sets-up-new-research-institute-focused-on-sustainability,The Business Times,Featured on SGInvestors
79,None (General News),Proxy advisers give cautious nod for ALog Trust unitholders to accept merger offer,08/03/2022,https://www.businesstimes.com.sg/companies-markets/proxy-advisers-give-cautious-nod-for-alog-trust-unitholders-to-accept-merger-offer,The Business Times,Featured on SGInvestors
80,None (General News),Rex International cranks up the production volume,08/03/2022,https://www.businesstimes.com.sg/companies-markets/rex-international-cranks-up-the-production-volume,The Business Times,Featured on SGInvestors
81,None (General News),"Credit Suisse's Pozsar says commodities crisis could weaken Eurodollar, boost yuan",08/03/2022,https://www.channelnewsasia.com/business/credit-suisses-pozsar-says-commodities-crisis-could-weaken-eurodollar-boost-yuan-2547836,CNA,Featured on SGInvestors
82,None (General News),"COVID-19 can cause brain shrinkage, memory loss - study",08/03/2022,https://www.channelnewsasia.com/business/covid-19-can-cause-brain-shrinkage-memory-loss-study-2547656,CNA,Featured on SGInvestors
83,None (General News),Nuclear reactor restarts could be 'best option' for Japan to ride out energy shortages: Senior lawmaker ,08/03/2022,https://www.channelnewsasia.com/asia/japan-oil-and-gas-nuclear-energy-sanctions-against-russia-2547416,CNA,Featured on SGInvestors
84,None (General News),V3 Group announces reorganisation as subsidiary files for IPO in Hong Kong,08/03/2022,https://www.theedgesingapore.com/news/company-news/v3-group-announces-reorganisation-subsidiary-files-ipo-hong-kong,The Edge,Featured on SGInvestors
85,None (General News),Cryptoverse: The young HODLers keeping bitcoin on an even keel,08/03/2022,https://www.channelnewsasia.com/business/cryptoverse-young-hodlers-keeping-bitcoin-even-keel-2547731,CNA,Featured on SGInvestors
86,None (General News),"At the top of Europe's banks, it's still a man's world",08/03/2022,https://www.channelnewsasia.com/business/top-europes-banks-its-still-mans-world-2547736,CNA,Featured on SGInvestors
87,None (General News),"Additional S$45m for green building innovation, S$64m for urban sustainability R&D",08/03/2022,https://www.businesstimes.com.sg/government-economy/additional-s45m-for-green-building-innovation-s64m-for-urban-sustainability-rd,The Business Times,Featured on SGInvestors
88,None (General News),Carmakers face soaring metal costs with Russian supplies at risk,08/03/2022,https://www.channelnewsasia.com/business/carmakers-face-soaring-metal-costs-russian-supplies-risk-2547696,CNA,Featured on SGInvestors
89,None (General News),Japan Feb service sector sentiment worsens slightly - govt ,08/03/2022,https://www.channelnewsasia.com/business/japan-feb-service-sector-sentiment-worsens-slightly-govt-2547686,CNA,Featured on SGInvestors
90,None (General News),Top Glove shelves US$347 million Hong Kong listing: Source,08/03/2022,https://www.channelnewsasia.com/business/top-glove-shelves-us347-million-hong-kong-listing-source-2547691,CNA,Featured on SGInvestors
91,None (General News),Citi plans 900 hires for commercial banking unit over three years,08/03/2022,https://www.channelnewsasia.com/business/citi-plans-900-hires-commercial-banking-unit-over-three-years-2547646,CNA,Featured on SGInvestors
92,None (General News),All HDB car parks to have 3 EV charging points by 2025; Cat A COE to include more EV models,08/03/2022,https://www.businesstimes.com.sg/government-economy/all-hdb-car-parks-to-have-3-ev-charging-points-by-2025-cat-a-coe-to-include-more,The Business Times,Featured on SGInvestors
93,None (General News),Activist fund Oasis to sponsor female director training in Japan,08/03/2022,https://www.channelnewsasia.com/business/activist-fund-oasis-sponsor-female-director-training-japan-2547586,CNA,Featured on SGInvestors
94,None (General News),Japan Jan coincident index down 0.5 point - govt,08/03/2022,https://www.channelnewsasia.com/business/japan-jan-coincident-index-down-05-point-govt-2547531,CNA,Featured on SGInvestors
95,None (General News),"Foreign workers for Malaysia's palm plantations to arrive in May, June",08/03/2022,https://www.channelnewsasia.com/business/foreign-workers-malaysias-palm-plantations-arrive-may-june-2547481,CNA,Featured on SGInvestors
96,None (General News),"Malaysia says foreign workers for palm plantations to arrive in May, June ",08/03/2022,https://www.channelnewsasia.com/business/malaysia-says-foreign-workers-palm-plantations-arrive-may-june-2547481,CNA,Featured on SGInvestors
97,None (General News),"S$220m to go towards research in water technologies, sustainable resources",08/03/2022,https://www.businesstimes.com.sg/government-economy/s220m-to-go-towards-research-in-water-technologies-sustainable-resources,The Business Times,Featured on SGInvestors
98,None (General News),US envoys held energy talks with Venezuela's President Maduro: White House,08/03/2022,https://www.channelnewsasia.com/world/us-envoys-held-energy-talks-venezuelas-president-maduro-white-house-2547466,CNA,Featured on SGInvestors
99,None (General News),Decisive net-zero shift will establish Singapore's economic chops: Teo Chee Hean,08/03/2022,https://www.businesstimes.com.sg/government-economy/decisive-net-zero-shift-will-establish-singapores-economic-chops-teo-chee-hean,The Business Times,Featured on SGInvestors
100,None (General News),Firms to receive higher support for energy-efficient technologies under NEA's Energy Efficiency Fund,08/03/2022,https://www.businesstimes.com.sg/government-economy/firms-to-receive-higher-support-for-energy-efficient-technologies-under-neas,The Business Times,Featured on SGInvestors
101,None (General News),Japan Finance Minister voices view against turning BOJ-held bonds into perpetual debt,08/03/2022,https://www.channelnewsasia.com/business/japan-finance-minister-voices-view-against-turning-boj-held-bonds-perpetual-debt-2547441,CNA,Featured on SGInvestors
102,None (General News),Citi Commercial Bank to add 350 new hires in Asia-Pacific over next 3 years,08/03/2022,https://www.businesstimes.com.sg/banking-finance/citi-commercial-bank-to-add-350-new-hires-in-asia-pacific-over-next-3-years,The Business Times,Featured on SGInvestors
103,None (General News),"US businesses in China gloomier due to bilateral tensions, COVID curbs - survey",08/03/2022,https://www.channelnewsasia.com/business/us-businesses-china-gloomier-due-bilateral-tensions-covid-curbs-survey-2547426,CNA,Featured on SGInvestors
104,None (General News),"US businesses in China gloomier due to bilateral tensions, COVID-19 curbs: Survey ",08/03/2022,https://www.channelnewsasia.com/business/us-businesses-china-gloomier-due-bilateral-tensions-covid-19-curbs-survey-2547426,CNA,Featured on SGInvestors
105,None (General News),Singapore's unemployment rates back to pre-pandemic levels in January,08/03/2022,https://www.businesstimes.com.sg/government-economy/singapores-unemployment-rates-back-to-pre-pandemic-levels-in-january,The Business Times,Featured on SGInvestors
106,None (General News),Cybersecurity startup Axonius valued at $2.6 billion after latest funding,08/03/2022,https://www.channelnewsasia.com/business/cybersecurity-startup-axonius-valued-26-billion-after-latest-funding-2547376,CNA,Featured on SGInvestors
107,None (General News),OPEC meets with US shale executives as oil prices skyrocket,08/03/2022,https://www.channelnewsasia.com/business/opec-meets-us-shale-executives-oil-prices-skyrocket-2547256,CNA,Featured on SGInvestors
108,None (General News),Japan logs biggest current account deficit since 2014 as oil import costs surge,08/03/2022,https://www.channelnewsasia.com/asia/japan-logs-biggest-current-account-deficit-2014-oil-import-costs-surge-2546706,CNA,Featured on SGInvestors
109,None (General News),Qantas expects airfares to rise if oil price remains high,08/03/2022,https://www.channelnewsasia.com/business/qantas-expects-airfares-rise-if-oil-price-remains-high-2547126,CNA,Featured on SGInvestors
110,None (General News),Indonesia forex reserves at $141.4 billion at end-Feb - central bank,08/03/2022,https://www.channelnewsasia.com/business/indonesia-forex-reserves-1414-billion-end-feb-central-bank-2547131,CNA,Featured on SGInvestors
111,None (General News),Ron Sim's V3 reorganises structure ahead of Hong Kong IPO for OSIM business,08/03/2022,https://www.businesstimes.com.sg/companies-markets/ron-sims-v3-reorganises-structure-ahead-of-hong-kong-ipo-for-osim-business,The Business Times,Featured on SGInvestors
112,None (General News),Explainer - How sanctions against Russia are battering the global aviation industry,08/03/2022,https://www.channelnewsasia.com/business/explainer-how-sanctions-against-russia-are-battering-global-aviation-industry-2547036,CNA,Featured on SGInvestors
113,None (General News),How sanctions against Russia are battering the global aviation industry,08/03/2022,https://www.channelnewsasia.com/business/ukraine-invasion-how-sanctions-against-russia-are-battering-global-aviation-industry-2547036,CNA,Featured on SGInvestors
114,None (General News),"Oil firms, Asia shares drop as Ukraine talks make little progress",08/03/2022,https://www.channelnewsasia.com/business/oil-firms-asia-shares-drop-ukraine-talks-make-little-progress-2547016,CNA,Featured on SGInvestors
115,None (General News),"Oil seesaws, Asia shares dip as Ukraine talks make little progress",08/03/2022,https://www.channelnewsasia.com/business/oil-seesaws-asia-shares-dip-ukraine-talks-make-little-progress-2547016,CNA,Featured on SGInvestors
116,None (General News),Cryptocurrencies unlikely to bypass sanctions on Russia for now: ING,08/03/2022,https://www.businesstimes.com.sg/banking-finance/cryptocurrencies-unlikely-to-bypass-sanctions-on-russia-for-now-ing,The Business Times,Featured on SGInvestors
117,None (General News),Japan's ANA says new lower-cost carrier to start flights from second half of FY2023,08/03/2022,https://www.channelnewsasia.com/business/japans-ana-says-new-lower-cost-carrier-start-flights-second-half-fy2023-2546931,CNA,Featured on SGInvestors
118,None (General News),Google in talks to buy cybersecurity firm Mandiant - The Information,08/03/2022,https://www.channelnewsasia.com/business/google-talks-buy-cybersecurity-firm-mandiant-information-2546901,CNA,Featured on SGInvestors
119,None (General News),Euro mired down while Ukraine war weighs on growth,08/03/2022,https://www.channelnewsasia.com/business/euro-mired-down-while-ukraine-war-weighs-growth-2546881,CNA,Featured on SGInvestors
120,None (General News),Euro mired while Ukraine war weighs on growth,08/03/2022,https://www.channelnewsasia.com/business/euro-mired-while-ukraine-war-weighs-growth-2546881,CNA,Featured on SGInvestors
121,None (General News),Singapore shares fall at Tuesday's open extending global losses; STI down 0.4%,08/03/2022,https://www.businesstimes.com.sg/stocks/singapore-shares-fall-at-tuesdays-open-extending-global-losses-sti-down-04,The Business Times,Featured on SGInvestors
122,None (General News),Analysts keep 'buy' on CDL as hospitality recovery expected to continue into 2022,08/03/2022,https://www.theedgesingapore.com/capital/brokers-calls/analysts-keep-buy-cdl-hospitality-recovery-expected-continue-2022,The Edge,Featured on SGInvestors
123,None (General News),Singapore new home sales sink 27% in February,08/03/2022,https://www.businesstimes.com.sg/real-estate/singapore-new-home-sales-sink-27-in-february,The Business Times,Featured on SGInvestors
124,None (General News),"SK Group, 8 Rivers form zero-emissions joint venture ",08/03/2022,https://www.channelnewsasia.com/business/sk-group-8-rivers-form-zero-emissions-joint-venture-2546791,CNA,Featured on SGInvestors
125,None (General News),Environmental groups press California on electric car rules,08/03/2022,https://www.channelnewsasia.com/business/environmental-groups-press-california-electric-car-rules-2546746,CNA,Featured on SGInvestors
126,None (General News),US agency will review FAA efforts on 'flying taxi' rules,08/03/2022,https://www.channelnewsasia.com/business/us-agency-will-review-faa-efforts-flying-taxi-rules-2546731,CNA,Featured on SGInvestors
127,None (General News),"Stocks to watch: Keppel Reit, Singtel, SPH, Q&M Dental",08/03/2022,https://www.businesstimes.com.sg/stocks/stocks-to-watch-keppel-reit-singtel-sph-qm-dental,The Business Times,Featured on SGInvestors
128,None (General News),Livingstone Health signs MOU to expand into healthcare opportunities in Vietnam,08/03/2022,https://www.theedgesingapore.com/news/deals-joint-ventures-alliances/livingstone-health-signs-mou-expand-healthcare-opportunities,The Edge,Featured on SGInvestors
129,None (General News),RBC Investor Services Trust Singapore intends to retire as Keppel Reit trustee,08/03/2022,https://www.businesstimes.com.sg/companies-markets/rbc-investor-services-trust-singapore-intends-to-retire-as-keppel-reit-trustee,The Business Times,Featured on SGInvestors
